publication,title,keywords
http://linkeddata.econstor.eu/beta/resource/publications/44328,The desirability of workfare as a welfare ordeal: Revisited,welfare workfare misreporting means-testing utility maintenance
http://linkeddata.econstor.eu/beta/resource/publications/131088,"Ageing, Care Need and Long-Term Care Workforce in Germany",Deutschland Pflegeberufe Gesundheitsberufe Pflegebedürftigkeit
http://linkeddata.econstor.eu/beta/resource/publications/47146,The experience of developing countries with macroeconomic stabilisation and structural adjustment,Wirtschaftliche Anpassung Entwicklungsländer Anpassungsprogramm des IWF
http://linkeddata.econstor.eu/beta/resource/publications/58938,"Private information, human capital, and optimal 'home bias' in financial markets",Welt financial markets Portfolio-Management Asymmetrische Information USA human capital private information Internationaler Finanzmarkt home bias global financial crisis Home Bias Puzzle risky assets
http://linkeddata.econstor.eu/beta/resource/publications/111047,Surveys of Informal Sector Enterprises - Some Measurement Issues,informal sector informal sector enterprises measurement of GDP survey questionnaires enterprise profits
http://linkeddata.econstor.eu/beta/resource/publications/130740,Costs and Benefits of Labour Mobility between the EU and the Eastern Partnership Partner Countries. Country report. Azerbaijan,Labour Markets Labour Mobility Azerbaijan Labour Economics
http://linkeddata.econstor.eu/beta/resource/publications/31600,Creative destruction and regional productivity growth: evidence from the dutch manufacturing and services industries,Regionale Entwicklung Schätzung Produktivität turbulence Innovationswettbewerb Niederlande Internationaler Wettbewerb Markteintritt total factor productivity Branchenentwicklung regional competitiveness Schumpeterismus Marktaustritt Firm entry firm exit
http://linkeddata.econstor.eu/beta/resource/publications/39695,Systematic change instead of curing symptoms: Coordinating social and private health insurance in Germany and beyond,Deutschland Welt Gesundheitsfinanzierung Gesundheitsreform Gesetzliche Krankenversicherung Private Krankenversicherung
http://linkeddata.econstor.eu/beta/resource/publications/107317,Public debt in an OLG model with imperfect competition: long-run effects of austerity programs and changes in the growth rate,dynamic efficiency austerity Public debt growth effects
http://linkeddata.econstor.eu/beta/resource/publications/64108,Opacity of young firms: Faith or fact?,Finnland Kreditwürdigkeit Unternehmensgründung Klein- und Mittelunternehmen
http://linkeddata.econstor.eu/beta/resource/publications/30186,Die neue neue Außenhandelstheorie: das Melitz-Modell,Exit Heterogenous Firms Entry Monopolistic Competition Firm Size Export Decision Trade Theory
http://linkeddata.econstor.eu/beta/resource/publications/127381,Policy convergence: A conceptual framework based on lessons from renewable energy policies in the EU,renewable energy sources economic convergence support policies policy convergence
http://linkeddata.econstor.eu/beta/resource/publications/113343,Environmental public goods specific to agriculture,Public goods the production of soybean subsistence farms optimizing the production of public goods
http://linkeddata.econstor.eu/beta/resource/publications/65555,The golden hello and political transitions,Entwicklungsfinanzierung democracy Schätzung Theorie Welt Wirkungsanalyse Politische Reform World Bank Politische Stabilität Demokratisierung IMF Anpassungsprogramm des IWF political transitions autocracy Autoritäres System
