publication,title,keywords
http://linkeddata.econstor.eu/beta/resource/publications/44328,The desirability of workfare as a welfare ordeal: Revisited,welfareXXXYYYworkfareXXXYYYmisreportingXXXYYYmeans-testingXXXYYYutility maintenance
http://linkeddata.econstor.eu/beta/resource/publications/131088,"Ageing, Care Need and Long-Term Care Workforce in Germany",DeutschlandXXXYYYPflegeberufeXXXYYYGesundheitsberufeXXXYYYPflegebedürftigkeit
http://linkeddata.econstor.eu/beta/resource/publications/47146,The experience of developing countries with macroeconomic stabilisation and structural adjustment,Wirtschaftliche AnpassungXXXYYYEntwicklungsländerXXXYYYAnpassungsprogramm des IWF
http://linkeddata.econstor.eu/beta/resource/publications/58938,"Private information, human capital, and optimal 'home bias' in financial markets",WeltXXXYYYfinancial marketsXXXYYYPortfolio-ManagementXXXYYYAsymmetrische InformationXXXYYYUSAXXXYYYhuman capitalXXXYYYprivate informationXXXYYYInternationaler FinanzmarktXXXYYYhome biasXXXYYYglobal financial crisisXXXYYYHome Bias PuzzleXXXYYYrisky assets
http://linkeddata.econstor.eu/beta/resource/publications/111047,Surveys of Informal Sector Enterprises - Some Measurement Issues,informal sectorXXXYYYinformal sector enterprisesXXXYYYmeasurement of GDPXXXYYYsurvey questionnairesXXXYYYenterprise profits
http://linkeddata.econstor.eu/beta/resource/publications/130740,Costs and Benefits of Labour Mobility between the EU and the Eastern Partnership Partner Countries. Country report. Azerbaijan,Labour MarketsXXXYYYLabour MobilityXXXYYYAzerbaijanXXXYYYLabour Economics
http://linkeddata.econstor.eu/beta/resource/publications/31600,Creative destruction and regional productivity growth: evidence from the dutch manufacturing and services industries,Regionale EntwicklungXXXYYYSchätzungXXXYYYProduktivitätXXXYYYturbulenceXXXYYYInnovationswettbewerbXXXYYYNiederlandeXXXYYYInternationaler WettbewerbXXXYYYMarkteintrittXXXYYYtotal factor productivityXXXYYYBranchenentwicklungXXXYYYregional competitivenessXXXYYYSchumpeterismusXXXYYYMarktaustrittXXXYYYFirm entryXXXYYYfirm exit
http://linkeddata.econstor.eu/beta/resource/publications/39695,Systematic change instead of curing symptoms: Coordinating social and private health insurance in Germany and beyond,DeutschlandXXXYYYWeltXXXYYYGesundheitsfinanzierungXXXYYYGesundheitsreformXXXYYYGesetzliche KrankenversicherungXXXYYYPrivate Krankenversicherung
http://linkeddata.econstor.eu/beta/resource/publications/107317,Public debt in an OLG model with imperfect competition: long-run effects of austerity programs and changes in the growth rate,dynamic efficiencyXXXYYYausterityXXXYYYPublic debtXXXYYYgrowth effects
http://linkeddata.econstor.eu/beta/resource/publications/64108,Opacity of young firms: Faith or fact?,FinnlandXXXYYYKreditwürdigkeitXXXYYYUnternehmensgründungXXXYYYKlein- und Mittelunternehmen
http://linkeddata.econstor.eu/beta/resource/publications/30186,Die neue neue Außenhandelstheorie: das Melitz-Modell,ExitXXXYYYHeterogenous FirmsXXXYYYEntryXXXYYYMonopolistic CompetitionXXXYYYFirm SizeXXXYYYExport DecisionXXXYYYTrade Theory
http://linkeddata.econstor.eu/beta/resource/publications/127381,Policy convergence: A conceptual framework based on lessons from renewable energy policies in the EU,renewable energy sourcesXXXYYYeconomic convergenceXXXYYYsupport policiesXXXYYYpolicy convergence
http://linkeddata.econstor.eu/beta/resource/publications/113343,Environmental public goods specific to agriculture,Public goodsXXXYYYthe production of soybeanXXXYYYsubsistence farmsXXXYYYoptimizing the production of public goods
